hour_of_day,failed_login_attempts,data_transfer_mb,file_access_count,network_connections,distinct_files_touched,is_after_hours,is_known_device,cpu_spike_percent,risk_score,severity,is_anomalous,source,raw_message,file_path
11,0,33.91,4,3,2,0,1,8.0,7.3,normal,0,file_scan,File access: /home/user/reports/Q3_summary.pdf touched 2 related files by WKSTN-01 at hour 11:00 (33.91MB transferred).,/home/user/reports/Q3_summary.pdf
15,0,22.51,4,1,2,0,1,31.5,1.96,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 1 active connections, 4 file operations in session (after-hours=no).",
9,0,17.08,5,3,2,0,1,70.5,9.84,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 2 related files by WKSTN-01 at hour 09:00 (17.08MB transferred).,/home/user/notes/meeting_minutes.docx
20,7,256.98,13,11,5,0,1,26.6,71.16,critical,1,file_scan,File access: /etc/shadow touched 5 related files by SRV-DB-PRIMARY at hour 20:00 (256.98MB transferred).,/etc/shadow
11,0,49.72,2,6,3,0,1,21.5,15.43,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 6 active connections, 2 file operations in session (after-hours=no).",
20,2,151.69,14,8,10,0,1,44.8,46.21,suspicious,1,log_monitor,"Login node SRV-DB-PRIMARY: 2 failed attempts, 8 active connections, 14 file operations in session (after-hours=no).",
10,7,201.89,35,19,16,0,0,37.6,100.0,critical,1,file_scan,File access: /data/finance/tax_filings_2025.pdf touched 16 related files by EXT-192.168.77.14 at hour 10:00 (201.89MB transferred).,/data/finance/tax_filings_2025.pdf
9,0,4.05,3,4,4,0,1,21.7,8.08,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 4 related files by WKSTN-01 at hour 09:00 (4.05MB transferred).,/tmp/build_cache/output.json
9,0,36.36,2,4,3,0,1,16.9,8.84,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 4 active connections, 2 file operations in session (after-hours=no).",
8,6,419.91,32,15,16,0,1,37.1,98.79,critical,1,file_scan,File access: /var/backups/customer_pii.csv touched 16 related files by LAPTOP-ADMIN at hour 08:00 (419.91MB transferred).,/var/backups/customer_pii.csv
7,4,250.03,41,17,15,0,0,41.2,100.0,critical,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 15 related files by UNKNOWN-HOST at hour 07:00 (250.03MB transferred).,/data/finance/payroll_2026.xlsx
9,3,221.98,11,7,5,0,1,15.3,36.49,suspicious,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 5 related files by SRV-DB-PRIMARY at hour 09:00 (221.98MB transferred).,/data/finance/payroll_2026.xlsx
15,0,35.18,8,3,5,0,1,43.4,12.96,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 3 active connections, 8 file operations in session (after-hours=no).",
12,0,24.91,7,4,4,0,1,0.0,6.89,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 4 related files by LAPTOP-ADMIN at hour 12:00 (24.91MB transferred).,/tmp/build_cache/output.json
12,0,49.5,3,7,3,0,1,63.4,12.76,normal,0,file_scan,File access: /home/user/notes/meeting_minutes.docx touched 3 related files by SRV-DB-PRIMARY at hour 12:00 (49.5MB transferred).,/home/user/notes/meeting_minutes.docx
13,0,111.78,5,5,2,0,1,40.5,14.94,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 5 active connections, 5 file operations in session (after-hours=no).",
12,4,462.08,29,9,14,0,0,6.1,93.83,critical,1,log_monitor,"Login node EXT-192.168.77.14: 4 failed attempts, 9 active connections, 29 file operations in session (after-hours=no).",
16,0,24.08,3,4,1,0,1,55.0,20.66,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 4 active connections, 3 file operations in session (after-hours=no).",
19,3,219.94,14,2,5,0,1,0.0,33.66,suspicious,1,log_monitor,"Login node WKSTN-02: 3 failed attempts, 2 active connections, 14 file operations in session (after-hours=no).",
20,2,415.76,38,14,11,0,0,41.0,96.19,critical,1,log_monitor,"Login node UNKNOWN-HOST: 2 failed attempts, 14 active connections, 38 file operations in session (after-hours=no).",
2,2,78.17,20,6,4,1,0,47.8,71.13,critical,1,file_scan,File access: /var/backups/customer_pii.csv touched 4 related files by UNKNOWN-HOST at hour 02:00 (78.17MB transferred).,/var/backups/customer_pii.csv
14,0,21.67,7,2,1,0,1,12.5,5.91,normal,0,file_scan,File access: /var/log/app/access.log touched 1 related files by SRV-DB-PRIMARY at hour 14:00 (21.67MB transferred).,/var/log/app/access.log
1,3,586.47,26,20,20,1,0,36.0,100.0,critical,1,log_monitor,"Login node EXT-192.168.77.14: 3 failed attempts, 20 active connections, 26 file operations in session (after-hours=yes).",
8,0,64.09,3,3,1,0,1,54.8,15.35,normal,0,file_scan,File access: /var/log/app/access.log touched 1 related files by LAPTOP-ADMIN at hour 08:00 (64.09MB transferred).,/var/log/app/access.log
17,2,341.66,15,6,7,0,0,32.5,60.0,critical,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 7 related files by EXT-192.168.77.14 at hour 17:00 (341.66MB transferred).,/data/finance/payroll_2026.xlsx
9,0,24.85,2,3,1,0,1,19.3,9.94,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 3 active connections, 2 file operations in session (after-hours=no).",
14,1,312.64,14,5,3,0,1,48.7,41.4,suspicious,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 3 related files by WKSTN-02 at hour 14:00 (312.64MB transferred).,/data/finance/payroll_2026.xlsx
15,0,33.33,3,8,4,0,1,38.2,23.42,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 8 active connections, 3 file operations in session (after-hours=no).",
21,7,658.9,31,17,9,1,0,21.8,100.0,critical,1,log_monitor,"Login node EXT-10.0.9.201: 7 failed attempts, 17 active connections, 31 file operations in session (after-hours=yes).",
17,0,4.21,5,0,3,0,1,37.9,16.06,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 3 related files by WKSTN-02 at hour 17:00 (4.21MB transferred).,/tmp/build_cache/output.json
10,0,47.87,9,7,0,0,1,50.4,23.9,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 7 active connections, 9 file operations in session (after-hours=no).",
5,2,111.2,19,9,6,1,1,26.5,54.19,suspicious,1,log_monitor,"Login node WKSTN-02: 2 failed attempts, 9 active connections, 19 file operations in session (after-hours=yes).",
8,0,64.64,7,0,0,0,1,1.6,7.89,normal,0,file_scan,File access: /var/log/app/access.log touched 0 related files by WKSTN-02 at hour 08:00 (64.64MB transferred).,/var/log/app/access.log
18,0,30.01,1,3,5,0,1,45.3,10.19,normal,0,file_scan,File access: /tmp/build_cache/output.json touched 5 related files by WKSTN-02 at hour 18:00 (30.01MB transferred).,/tmp/build_cache/output.json
8,0,24.12,5,4,1,0,1,14.6,2.44,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 4 active connections, 5 file operations in session (after-hours=no).",
15,5,728.07,34,18,19,0,1,47.6,100.0,critical,1,log_monitor,"Login node LAPTOP-ADMIN: 5 failed attempts, 18 active connections, 34 file operations in session (after-hours=no).",
12,0,12.91,3,1,0,0,1,12.4,8.91,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 1 active connections, 3 file operations in session (after-hours=no).",
18,0,32.38,6,4,2,0,1,55.5,14.07,normal,0,log_monitor,"Login node WKSTN-01: 0 failed attempts, 4 active connections, 6 file operations in session (after-hours=no).",
11,5,262.29,21,9,9,0,0,15.5,80.89,critical,1,log_monitor,"Login node EXT-10.0.9.201: 5 failed attempts, 9 active connections, 21 file operations in session (after-hours=no).",
20,2,81.41,17,9,5,0,1,0.0,35.62,suspicious,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 5 related files by LAPTOP-ADMIN at hour 20:00 (81.41MB transferred).,/data/finance/payroll_2026.xlsx
17,1,23.35,1,5,2,0,1,26.6,16.68,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 1 failed attempts, 5 active connections, 1 file operations in session (after-hours=no).",
7,1,118.15,21,9,3,0,1,46.9,32.18,suspicious,1,file_scan,File access: /etc/shadow touched 3 related files by WKSTN-02 at hour 07:00 (118.15MB transferred).,/etc/shadow
19,4,94.11,13,8,12,0,0,35.6,70.12,critical,1,file_scan,File access: /data/finance/tax_filings_2025.pdf touched 12 related files by UNKNOWN-HOST at hour 19:00 (94.11MB transferred).,/data/finance/tax_filings_2025.pdf
18,0,72.27,7,3,0,0,1,0.0,3.35,normal,0,log_monitor,"Login node SRV-DB-PRIMARY: 0 failed attempts, 3 active connections, 7 file operations in session (after-hours=no).",
16,0,10.83,5,2,3,0,1,4.6,3.88,normal,0,log_monitor,"Login node WKSTN-02: 0 failed attempts, 2 active connections, 5 file operations in session (after-hours=no).",
8,2,93.55,17,8,8,0,1,0.0,34.66,suspicious,1,file_scan,File access: /etc/shadow touched 8 related files by SRV-DB-PRIMARY at hour 08:00 (93.55MB transferred).,/etc/shadow
4,5,125.14,29,4,8,1,1,44.3,74.44,critical,1,file_scan,File access: /data/finance/payroll_2026.xlsx touched 8 related files by WKSTN-02 at hour 04:00 (125.14MB transferred).,/data/finance/payroll_2026.xlsx
9,0,6.47,1,2,3,0,1,62.2,3.69,normal,0,file_scan,File access: /home/user/reports/Q3_summary.pdf touched 3 related files by LAPTOP-ADMIN at hour 09:00 (6.47MB transferred).,/home/user/reports/Q3_summary.pdf
10,0,15.91,3,2,5,0,1,30.1,5.95,normal,0,log_monitor,"Login node LAPTOP-ADMIN: 0 failed attempts, 2 active connections, 3 file operations in session (after-hours=no).",
